"id";"layer_code";"layer"
1;"B";"B"
2;"BH";"B"
3;"K";"K"
4;"KH";"K"
5;"KL";"K"
6;"M";"M"
7;"MO";"M"
8;"S";"S"
9;"SH";"S"
10;"SL";"S"
11;"STR";
12;"TOT";"X"
13;"0";"X"
14;"1";"B"
15;"2";"B"
16;"3";"B"
17;"4";"S"
18;"5";"S"
19;"6";"K"
20;"7";"K"
21;"8";"K"
22;"9";"M"
23;"AL";"A"
24;"BL";"B"
25;"BoW";"K"
26;"CHE";"K"
27;"CRY";"M"
28;"FPH";"B"
29;"LHE";"K"
30;"LPH";"K"
31;"LPH/CON";"K"
32;"LPH/DEC";"K"
33;"MPH";"S"
34;"OnW";"K"
35;"OpW";"K"
36;"SCH";"K"
37;"SCH/CON";"K"
38;"SCH/DEC";"K"
39;"SCH/EVR";"K"
40;"TPH";"S"
41;"X";"X"
42;"-";"X"
