"conclusie";"volgnr";"prioriteit";"regel001_Bebouwd";"regel020_Akker";"regel030_Marien";"regel040_Strand_Kustduin";"regel050_Water";"regel060_bomen_struiken";"regel062_heide";"regel063_heischraal";"regel064_brem_gaspeldoorn";"regel066_bos";"regel070_pijpenstro_smele";"regel080_landduin";"regel0901_moeras";"regel0902_moeras";"regel100_metrus";"regel105_moeras";"regel110_grasland"
"_A";1;;0;1;;;;;;;;;;;;;;;
"_B";2;2016;0;0;0;0;0;1;0;;0;1;;;;;;;
"_D";3;;0;0;0;1;;;;;;;;;;;;;
"_G";4;195;0;0;0;0;0;0;;;;;1;;;;;;
"_G";5;;0;0;0;0;0;1;0;;0;0;;;;;0;;1
"_G";6;127;0;0;0;0;0;1;1;1;;;;;;;;;
"_G";7;;0;0;0;0;0;1;0;;0;0;;;;;1;0;1
"_G";8;8174;0;0;0;0;0;0;;;;;0;0;0;0;0;;1
"_G";9;92;0;0;0;0;0;0;;;;;0;0;0;0;1;0;1
"_H";10;49;0;0;0;0;0;0;;;;;0;1;;;;;
"_H";11;1568;0;0;0;0;0;1;1;0;;;;;;;;;
"_M";12;3520;0;0;0;0;0;0;;;;;0;0;1;;;;
"_M";13;76;0;0;0;0;0;0;;;;;0;0;;1;;;
"_M";14;;0;0;0;0;0;1;0;;0;0;;;;;1;1;
"_R";15;4;0;0;0;0;0;1;0;;0;0;;;;;0;;0
"_M";16;38;0;0;0;0;0;0;;;;;0;0;0;0;1;1;
"_R";17;;0;0;0;0;0;1;0;;0;0;;;;;1;0;0
"_R";18;2123;0;0;0;0;0;0;;;;;0;0;0;0;0;;0
"_R";19;3;0;0;0;0;0;0;;;;;0;0;0;0;1;0;0
"_U";20;;1;;;;;;;;;;;;;;;;
"_W";21;293;0;0;0;0;1;;;;;;;;;;;;
"_Z";22;;0;0;1;;;;;;;;;;;;;;
"rbbsg - sg";23;25;0;0;0;0;0;1;0;;1;;;;;;;;
